datetime,signal,instrument,strike,entry,exit,pnl
2023-02-02 10:05:00+05:30,-1,NIFTY02FEB2317600CE,17600.0,51.3,50.85,0.44999999999999574
2023-02-02 10:20:00+05:30,1,NIFTY02FEB2317600CE,17600.0,63.75,62.05,-1.7000000000000028
2023-02-02 10:30:00+05:30,-1,NIFTY02FEB2317550CE,17550.0,52.5,57.7,-5.200000000000003
2023-02-02 10:50:00+05:30,1,NIFTY02FEB2317550CE,17550.0,79.45,73.85,-5.6000000000000085
2023-02-02 11:40:00+05:30,-1,NIFTY02FEB2317600CE,17600.0,48.8,44.6,4.199999999999996
2023-02-02 11:55:00+05:30,1,NIFTY02FEB2317600CE,17600.0,68.0,63.95,-4.049999999999997
2023-02-02 12:20:00+05:30,-1,NIFTY02FEB2317600CE,17600.0,49.3,43.0,6.299999999999997
2023-02-02 14:10:00+05:30,1,NIFTY02FEB2317500CE,17500.0,50.2,56.0,5.799999999999997
2023-02-03 09:40:00+05:30,-1,NIFTY09FEB2317650CE,17650.0,140.7,144.6,-3.9000000000000057
2023-02-03 11:00:00+05:30,1,NIFTY09FEB2317650CE,17650.0,131.05,134.5,3.4499999999999886
2023-02-03 11:10:00+05:30,-1,NIFTY09FEB2317650CE,17650.0,124.2,125.75,-1.5499999999999972
2023-02-03 11:45:00+05:30,1,NIFTY09FEB2317600CE,17600.0,154.4,158.05,3.6500000000000057
2023-02-03 13:00:00+05:30,-1,NIFTY09FEB2317700CE,17700.0,122.1,124.35,-2.25
2023-02-03 13:20:00+05:30,1,NIFTY09FEB2317700CE,17700.0,128.9,130.1,1.1999999999999886
2023-02-03 13:25:00+05:30,-1,NIFTY09FEB2317700CE,17700.0,124.65,125.4,-0.75
2023-02-03 13:40:00+05:30,1,NIFTY09FEB2317700CE,17700.0,141.4,152.7,11.299999999999983
2023-02-03 14:20:00+05:30,-1,NIFTY09FEB2317750CE,17750.0,126.35,131.7,-5.349999999999994
2023-02-03 14:25:00+05:30,1,NIFTY09FEB2317750CE,17750.0,144.0,149.05,5.050000000000011
2023-02-03 14:50:00+05:30,-1,NIFTY09FEB2317850CE,17850.0,114.7,115.85,-1.1499999999999915
2023-02-06 11:05:00+05:30,1,NIFTY09FEB2317700CE,17700.0,133.4,135.6,2.1999999999999886
2023-02-06 11:45:00+05:30,-1,NIFTY09FEB2317700CE,17700.0,128.6,128.2,0.4000000000000057
2023-02-06 11:50:00+05:30,1,NIFTY09FEB2317750CE,17750.0,106.15,103.8,-2.3500000000000085
2023-02-06 12:20:00+05:30,-1,NIFTY09FEB2317700CE,17700.0,134.05,134.0,0.05000000000001137
2023-02-06 12:45:00+05:30,1,NIFTY09FEB2317750CE,17750.0,99.6,98.5,-1.0999999999999943
2023-02-06 12:50:00+05:30,-1,NIFTY09FEB2317700CE,17700.0,130.1,131.4,-1.3000000000000114
2023-02-06 13:00:00+05:30,1,NIFTY09FEB2317750CE,17750.0,106.55,106.75,0.20000000000000284
2023-02-06 13:15:00+05:30,-1,NIFTY09FEB2317750CE,17750.0,99.7,99.65,0.04999999999999716
